Date,Open,High,Low,Close,Volume
2020-01-01,170.49223563357404,172.89440676867588,169.47750608963094,165.64513936830383,1880
2020-01-02,124.92714421430131,126.941099153268,120.61013730428168,121.64131065583301,2311
2020-01-03,147.91778270667248,150.34703647762205,141.85060624618438,146.1241222681614,4516
2020-01-04,125.48080982636426,132.89782666473684,121.33217024734994,126.5674904146404,9160
2020-01-05,100.0822941323164,102.90625160014865,90.14845300037405,99.04132934379501,2054
2020-01-06,115.81085328265593,124.69936212869553,106.9364076989123,111.9648375549225,9288
2020-01-07,128.0623707314067,129.42570526882056,122.29621555609214,127.63159804327226,6575
2020-01-08,102.87125480173151,103.90033872756992,96.87629315025487,105.068738298152,5879
2020-01-09,136.39585950779883,139.29042028761776,133.58409384840482,139.79732401454189,5983
2020-01-10,111.4052512193751,113.45791373331667,105.40322922236906,108.80668755276729,9122
2020-01-11,164.56254646562843,171.3054804293202,155.29453374702547,162.92236605520304,1995
2020-01-12,182.020183882111,190.9058632395185,175.17703760826137,183.2663422222323,3616
2020-01-13,165.87753800116218,169.8634019411193,164.33789721709732,162.76324197034404,1910
2020-01-14,118.32024815831018,122.64739080513088,115.38302158906716,115.73921700720143,3393
2020-01-15,145.60179461139137,153.13933787000178,141.86100615599548,147.28344226302096,2750
2020-01-16,180.8714305894829,188.6986046668259,175.7559750821721,180.92991966757276,4050
2020-01-17,156.19647799549455,160.75817771245983,147.98658510323295,159.65784592614338,5103
2020-01-18,120.72322807682278,129.05827993688894,116.40153720127277,124.49725014306324,9781
2020-01-19,189.81744684679313,194.00876760230238,183.9899026182597,187.49049391490234,6122
2020-01-20,110.96408528505488,120.45367806088962,104.86541291330276,108.10852968770514,8667
2020-01-21,133.10769731242732,139.66931793501456,131.7085729649056,131.17227028129278,5575
2020-01-22,171.20264848451262,180.43900763993003,162.07955471427877,169.36589916152676,3422
2020-01-23,110.46535622408932,113.96192055698117,102.20584272200387,106.07982831982801,3243
2020-01-24,199.54373226404226,204.54459033395716,198.43731302952233,200.13261150024277,8447
2020-01-25,171.05811541776066,180.18510899627492,164.25151037465932,173.2587865606906,4354
2020-01-26,198.67375914845184,202.56371724752114,193.81154870363193,202.20758212126898,6887
2020-01-27,182.17049934617125,189.3327547575461,180.88610094254847,179.7571419006191,1917
2020-01-28,187.36741273119011,193.94339090921505,179.1073058247429,190.1165871378279,8388
2020-01-29,133.27101670447593,136.61620916954845,131.81512387831435,134.96133701074612,8759
2020-01-30,127.30791028023492,128.46443523788312,124.27860473207444,125.95549470787593,2600
2020-01-31,151.0349165112079,157.08270292013964,143.06615443905446,151.34994362945298,1497
2020-02-01,103.13184883203071,112.9258646363607,100.52618529710259,98.93172113227409,5473
2020-02-02,159.1079596837777,161.2925995081486,156.58172371453418,157.37063174601695,8233
2020-02-03,159.83653863052785,163.46470242417945,150.4227695264632,161.95516356885886,3722
2020-02-04,136.83212890137028,146.36606297651113,132.747137260536,139.7127588074791,1141
2020-02-05,194.50349513356423,199.97046739982596,184.65056922590452,191.13766198900416,4255
2020-02-06,190.7619666629655,196.77472874008492,181.8470744876191,193.81081397080789,2803
2020-02-07,105.29796744965361,112.66669726942231,96.49531680190327,109.61367446852,1663
